Partlist exported from /home/felix/Scinamics/Designs/Avionics/MegaFly/MegaFly_rev4.1.sch at 2/6/14 3:21 PM,,,,,,,,,,
Qty,Parts,Device,Value,Description,Place(y/n),Distributor,Ordercode,Unit Price,Pricebreak,Total Price
40,R7,R-EU_R0603,68k,"RESISTOR, European symbol",YES,,,,1,0
40,R9,R-EU_R0805,0.25R,"RESISTOR, European symbol",YES,,,,1,0
40,S1,SWITCH-MOMENTARY-2SMD-1101NE,SWITCH-MOMENTARY-2SMD-1101NE,,YES,Digikey,450-1140-ND,0.1364,25,5.456
40,SD,USD-SOCKETNEW,USD-SOCKETNEW,microSD Socket,YES,Mouser,517-2908-05WB-MG,1.74,25,69.6
0,SERVO,SERVOCONNECTOR_X8STANDARD,SERVOCONNECTOR_X8STANDARD,,NO,,,,1,0
40,SOT1,MAX3051,MAX3051,,YES,Mouser,700-MAX3051EKAT,2.02,25,80.8
40,SP,PIEZO_SPEAKERSMALLER,PIEZO_SPEAKERSMALLER,,YES,Digikey,102-2197-1-ND,1.641,10,65.64
40,SPI,MOLEX_CONNECTOR_7PINSHIROSE_DF13,MOLEX_CONNECTOR_7PINSHIROSE_DF13,"Molex Picoblade connector, 7 pins SMD",YES,Digikey,H2224-ND,0.556,10,22.24
100,"U1, U4",LM2734,LM2734,,YES,Digikey,LM2734ZMK/NOPBCT-ND,1.3226,100,132.26
40,U10,AT32UC3C1512/1256/1128,AT32UC3C1512/1256/1128,AT32UC3C1512/1256/1128,YES,Digikey,AT32UC3C1512C-AUT-ND,9.0568,25,362.272
40,U2,LDO_3PINSOT89_MC78LXX,MC78L05,,YES,Digikey,MC78L05ACHXCT-ND,0.274,25,10.96
40,U3,V_REG_MIC5235,V_REG_MIC5235-3.3,,YES,Digikey,576-2784-1-ND,0.7084,25,28.336
40,U50,BMP180,BMP180,,YES,Rutronik,BMP180,3.45,1,138
40,U60,HMC5883L,HMC5883L,,YES,Digikey,342-1082-1-ND,1.638,25,65.52
40,U70,LSM330DLC,LSM330DLC,,YES,Mouser,511-LSM330DLC,4.3,25,172
40,USB,USB-MICROB,USB-MICROB,USB Connectors,YES,Digikey,609-4613-1-ND,0.2992,25,11.968
40,X1,CRYSTAL,CRYSTAL:ABM_16MHz,,YES,Digikey,535-9840-1-ND,0.683,10,27.32
0,XBEE,XBEE-1B1,XBEE-1B1,,NO,,,,1,0
,,,,,,,Avg. per board:,36.9008,Overall total:,1476.032
