TIMESTAMPms	M202RAWIMUxacc	M202RAWIMUxmag	M202RAWIMUyacc	M202RAWIMUymag	M202RAWIMUzacc	M202RAWIMUzmag
282088	-1664	-248	-1984	178	-2496	-104
282188	-1984	-213	-2496	230	-1792	-123
282288	-2176	-147	-2880	352	-1024	-211
282388	-2304	-115	-3136	390	-128	-264
282488	-2368	-76	-3200	451	832	-359
282588	-2240	-72	-3072	463	1472	-409
282688	-1984	-62	-2816	485	2240	-534
282788	-1664	-68	-2432	484	3008	-599
282888	-1408	-87	-1984	452	3648	-682
282984	-1088	-110	-1472	423	3968	-753
283088	-384	-181	-512	315	4352	-875
283188	128	-201	128	291	4352	-884
283288	384	-267	768	198	4352	-926
283388	768	-314	1216	124	4224	-948
283488	1024	-339	1664	80	4032	-952
283588	1344	-433	2240	-57	3712	-932
283688	1856	-479	2944	-128	2944	-906
283788	2176	-542	3392	-234	1984	-834
283888	2176	-571	3392	-272	1280	-802
283984	2176	-613	3712	-341	-384	-699
284088	2112	-622	3520	-360	-256	-655
284188	1984	-631	3392	-385	-1024	-561
284288	1792	-633	3200	-392	-1600	-512
284388	1472	-625	2752	-379	-2112	-401
284488	1216	-607	2304	-357	-2816	-348
284588	640	-556	1664	-291	-3264	-224
284688	128	-518	704	-235	-3456	-174
284788	-320	-462	64	-146	-3520	-124
284888	-576	-421	-384	-88	-3456	-96
284984	-832	-409	-704	-75	-3392	-83
285088	-960	-393	-1024	-46	-3264	-86
285188	-1024	-392	-1088	-35	-3200	-88
285288	-1088	-375	-1088	-22	-3136	-81
285388	-1216	-370	-1216	-8	-3136	-80
285488	-1216	-362	-1344	2	-3008	-87
285588	-1152	-362	-1408	1	-2944	-81
285688	-1216	-375	-1280	-21	-3136	-87
285788	-1216	-384	-1152	-23	-3200	-85
285888	-1088	-384	-1216	-23	-3200	-86
285984	-1088	-381	-1152	-26	-3136	-74
286084	-1088	-375	-1280	-29	-3136	-81
286192	-320	-360	-1024	-18	-3200	-84
286284	-896	-358	-1536	-10	-3136	-80
286392	-704	-358	-1664	7	-3072	-76
286488	-768	-360	-1664	7	-3008	-77
286584	-704	-358	-1664	7	-3072	-77
286684	-704	-359	-1664	6	-3072	-66
286788	-704	-363	-1728	6	-3008	-76
286884	-704	-361	-1792	9	-3008	-78
287000	-704	-366	-1664	2	-3008	-73
287088	-704	-362	-1792	0	-3008	-71
287188	-704	-362	-1664	13	-3072	-75
287288	-832	-347	-1856	33	-2880	-77
287388	-960	-332	-2048	51	-2752	-80
