Rate,Torque
7.79961e-08,7.80064e-08
2.42331e-06,2.34598e-06
2.34596e-07,2.34689e-07
1.07989e-05,1.05686e-05
2.24969e-07,2.25057e-07
2.10362e-07,2.10439e-07
2.27237e-07,2.27327e-07
2.25373e-07,2.25463e-07
1.86555e-07,1.86617e-07
2.2299e-07,2.23079e-07
1.05175e-05,1.02987e-05
1.98225e-07,1.98297e-07
5.61112e-06,5.41418e-06
8.93084e-08,8.93231e-08
4.25597e-06,4.16837e-06
2.11691e-07,2.11775e-07
2.10608e-07,2.10691e-07
3.68583e-06,3.47568e-06
1.36875e-07,1.3691e-07
2.08745e-07,2.08829e-07
2.06462e-07,2.06544e-07
1.01024e-05,9.9e-06
1.83215e-07,1.83281e-07
9.0451e-06,8.8655e-06
2.00326e-07,2.00406e-07
1.68736e-07,1.68793e-07
1.98387e-07,1.98466e-07
1.95967e-07,1.96045e-07
1.94508e-07,1.94585e-07
6.23058e-06,6.0376e-06
7.11787e-08,7.11892e-08
3.60724e-06,3.53751e-06
1.89859e-07,1.89935e-07
1.88444e-07,1.88519e-07
3.82863e-06,3.64072e-06
1.14992e-07,1.1502e-07
5.93525e-06,5.82264e-06
1.84022e-07,1.84095e-07
9.55391e-06,9.3737e-06
1.55989e-07,1.56043e-07
8.0209e-06,7.86806e-06
1.78223e-07,1.78294e-07
1.56079e-07,1.56134e-07
8.27773e-06,8.12497e-06
1.73287e-07,1.73355e-07
1.72959e-07,1.73028e-07
6.06818e-06,5.89677e-06
6.00106e-08,6.0019e-08
1.703e-07,1.70368e-07
9.14689e-06,8.98023e-06
1.67517e-07,1.67583e-07
6.70985e-08,6.71093e-08
9.87993e-08,9.88228e-08
1.64988e-07,1.65054e-07
1.63552e-07,1.63618e-07
8.9915e-06,8.83153e-06
1.35807e-07,1.35853e-07
7.50009e-06,7.36727e-06
1.58603e-07,1.58666e-07
8.06557e-06,7.90989e-06
1.56747e-07,1.5681e-07
1.54913e-07,1.54975e-07
8.75202e-06,8.6006e-06
1.0082e-07,1.00847e-07
2.00912e-06,1.90856e-06
1.50103e-07,1.50162e-07
8.55129e-06,8.40459e-06
1.4889e-07,1.48949e-07
3.52614e-06,3.37778e-06
8.5709e-08,8.57289e-08
4.969e-06,4.88529e-06
1.43301e-07,1.43358e-07
1.43047e-07,1.43103e-07
6.95977e-06,6.81901e-06
